,Total,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
6991,Total,Full-time,Northern Ireland,2017/18,Upper second class honours,3945
6992,Total,Full-time,Northern Ireland,2017/18,Lower second class honours,1310
6993,Total,Full-time,Northern Ireland,2017/18,Third class honours/Pass,135
6994,Total,Full-time,Northern Ireland,2017/18,Unclassified,225
6995,Total,Full-time,Scotland,2017/18,First class honours,5525
6996,Total,Full-time,Scotland,2017/18,Upper second class honours,11970
6997,Total,Full-time,Scotland,2017/18,Lower second class honours,3550
6998,Total,Full-time,Scotland,2017/18,Third class honours/Pass,575
6999,Total,Full-time,Scotland,2017/18,Unclassified,7450
7000,Total,Full-time,Wales,2017/18,First class honours,4695
7001,Total,Full-time,Wales,2017/18,Upper second class honours,8315
7002,Total,Full-time,Wales,2017/18,Lower second class honours,3310
7003,Total,Full-time,Wales,2017/18,Third class honours/Pass,525
7004,Total,Full-time,Wales,2017/18,Unclassified,435
7005,Total,Part-time,All,2017/18,First class honours,4950
7006,Total,Part-time,All,2017/18,Upper second class honours,8230
7007,Total,Part-time,All,2017/18,Lower second class honours,6730
7008,Total,Part-time,All,2017/18,Third class honours/Pass,4090
7009,Total,Part-time,All,2017/18,Unclassified,2620
7010,Total,Part-time,England,2017/18,First class honours,4305
7011,Total,Part-time,England,2017/18,Upper second class honours,7175
7012,Total,Part-time,England,2017/18,Lower second class honours,5945
7013,Total,Part-time,England,2017/18,Third class honours/Pass,3710
7014,Total,Part-time,England,2017/18,Unclassified,1265
7015,Total,Part-time,Northern Ireland,2017/18,First class honours,165
7016,Total,Part-time,Northern Ireland,2017/18,Upper second class honours,305
7017,Total,Part-time,Northern Ireland,2017/18,Lower second class honours,205
7018,Total,Part-time,Northern Ireland,2017/18,Third class honours/Pass,75
7019,Total,Part-time,Northern Ireland,2017/18,Unclassified,20
7020,Total,Part-time,Scotland,2017/18,First class honours,215
7021,Total,Part-time,Scotland,2017/18,Upper second class honours,415
7022,Total,Part-time,Scotland,2017/18,Lower second class honours,340
7023,Total,Part-time,Scotland,2017/18,Third class honours/Pass,185
7024,Total,Part-time,Scotland,2017/18,Unclassified,1250
7025,Total,Part-time,Wales,2017/18,First class honours,265
7026,Total,Part-time,Wales,2017/18,Upper second class honours,340
7027,Total,Part-time,Wales,2017/18,Lower second class honours,240
7028,Total,Part-time,Wales,2017/18,Third class honours/Pass,120
7029,Total,Part-time,Wales,2017/18,Unclassified,90
7030,Total,All,All,2018/19,First class honours,95960
7031,Total,All,All,2018/19,Upper second class honours,163605
7032,Total,All,All,2018/19,Lower second class honours,61255
7033,Total,All,All,2018/19,Third class honours/Pass,14255
7034,Total,All,All,2018/19,Unclassified,19515
7035,Total,All,England,2018/19,First class honours,82360
7036,Total,All,England,2018/19,Upper second class honours,138350
7037,Total,All,England,2018/19,Lower second class honours,52540
7038,Total,All,England,2018/19,Third class honours/Pass,12770
7039,Total,All,England,2018/19,Unclassified,9800
7040,Total,All,Northern Ireland,2018/19,First class honours,2325
7041,Total,All,Northern Ireland,2018/19,Upper second class honours,4500
7042,Total,All,Northern Ireland,2018/19,Lower second class honours,1410
7043,Total,All,Northern Ireland,2018/19,Third class honours/Pass,175
7044,Total,All,Northern Ireland,2018/19,Unclassified,245
7045,Total,All,Scotland,2018/19,First class honours,6070
7046,Total,All,Scotland,2018/19,Upper second class honours,12085
7047,Total,All,Scotland,2018/19,Lower second class honours,3825
7048,Total,All,Scotland,2018/19,Third class honours/Pass,700
7049,Total,All,Scotland,2018/19,Unclassified,8990
7050,Total,All,Wales,2018/19,First class honours,5200
7051,Total,All,Wales,2018/19,Upper second class honours,8670
7052,Total,All,Wales,2018/19,Lower second class honours,3480
7053,Total,All,Wales,2018/19,Third class honours/Pass,605
7054,Total,All,Wales,2018/19,Unclassified,475
7055,Total,Full-time,All,2018/19,First class honours,90745
7056,Total,Full-time,All,2018/19,Upper second class honours,154890
7057,Total,Full-time,All,2018/19,Lower second class honours,55015
7058,Total,Full-time,All,2018/19,Third class honours/Pass,10625
7059,Total,Full-time,All,2018/19,Unclassified,17035
7060,Total,Full-time,England,2018/19,First class honours,77930
7061,Total,Full-time,England,2018/19,Upper second class honours,130955
7062,Total,Full-time,England,2018/19,Lower second class honours,47070
7063,Total,Full-time,England,2018/19,Third class honours/Pass,9465
7064,Total,Full-time,England,2018/19,Unclassified,8695
7065,Total,Full-time,Northern Ireland,2018/19,First class honours,2125
7066,Total,Full-time,Northern Ireland,2018/19,Upper second class honours,4115
7067,Total,Full-time,Northern Ireland,2018/19,Lower second class honours,1205
7068,Total,Full-time,Northern Ireland,2018/19,Third class honours/Pass,125
7069,Total,Full-time,Northern Ireland,2018/19,Unclassified,230
7070,Total,Full-time,Scotland,2018/19,First class honours,5785
7071,Total,Full-time,Scotland,2018/19,Upper second class honours,11525
7072,Total,Full-time,Scotland,2018/19,Lower second class honours,3500
7073,Total,Full-time,Scotland,2018/19,Third class honours/Pass,535
7074,Total,Full-time,Scotland,2018/19,Unclassified,7675
7075,Total,Full-time,Wales,2018/19,First class honours,4905
7076,Total,Full-time,Wales,2018/19,Upper second class honours,8295
7077,Total,Full-time,Wales,2018/19,Lower second class honours,3240
7078,Total,Full-time,Wales,2018/19,Third class honours/Pass,500
7079,Total,Full-time,Wales,2018/19,Unclassified,435
7080,Total,Part-time,All,2018/19,First class honours,5215
7081,Total,Part-time,All,2018/19,Upper second class honours,8710
7082,Total,Part-time,All,2018/19,Lower second class honours,6240
7083,Total,Part-time,All,2018/19,Third class honours/Pass,3630
7084,Total,Part-time,All,2018/19,Unclassified,2480
7085,Total,Part-time,England,2018/19,First class honours,4430
7086,Total,Part-time,England,2018/19,Upper second class honours,7395
7087,Total,Part-time,England,2018/19,Lower second class honours,5470
7088,Total,Part-time,England,2018/19,Third class honours/Pass,3310
7089,Total,Part-time,England,2018/19,Unclassified,1105
7090,Total,Part-time,Northern Ireland,2018/19,First class honours,200
7091,Total,Part-time,Northern Ireland,2018/19,Upper second class honours,385
7092,Total,Part-time,Northern Ireland,2018/19,Lower second class honours,210
7093,Total,Part-time,Northern Ireland,2018/19,Third class honours/Pass,55
7094,Total,Part-time,Northern Ireland,2018/19,Unclassified,15
7095,Total,Part-time,Scotland,2018/19,First class honours,285
7096,Total,Part-time,Scotland,2018/19,Upper second class honours,560
7097,Total,Part-time,Scotland,2018/19,Lower second class honours,325
7098,Total,Part-time,Scotland,2018/19,Third class honours/Pass,160
7099,Total,Part-time,Scotland,2018/19,Unclassified,1315
7100,Total,Part-time,Wales,2018/19,First class honours,300
7101,Total,Part-time,Wales,2018/19,Upper second class honours,375
7102,Total,Part-time,Wales,2018/19,Lower second class honours,240
7103,Total,Part-time,Wales,2018/19,Third class honours/Pass,105
7104,Total,Part-time,Wales,2018/19,Unclassified,45
7105,Total,All,All,2019/20,First class honours,115475
7106,Total,All,All,2019/20,Upper second class honours,154920
7107,Total,All,All,2019/20,Lower second class honours,47195
7108,Total,All,All,2019/20,Third class honours/Pass,9300
7109,Total,All,All,2019/20,Unclassified,17535
7110,Total,All,England,2019/20,First class honours,98690
7111,Total,All,England,2019/20,Upper second class honours,130710
7112,Total,All,England,2019/20,Lower second class honours,40485
7113,Total,All,England,2019/20,Third class honours/Pass,8210
7114,Total,All,England,2019/20,Unclassified,9520
7115,Total,All,Northern Ireland,2019/20,First class honours,2590
7116,Total,All,Northern Ireland,2019/20,Upper second class honours,4305
7117,Total,All,Northern Ireland,2019/20,Lower second class honours,1085
7118,Total,All,Northern Ireland,2019/20,Third class honours/Pass,105
7119,Total,All,Northern Ireland,2019/20,Unclassified,225
7120,Total,All,Scotland,2019/20,First class honours,7670
7121,Total,All,Scotland,2019/20,Upper second class honours,11505
7122,Total,All,Scotland,2019/20,Lower second class honours,2815
7123,Total,All,Scotland,2019/20,Third class honours/Pass,520
7124,Total,All,Scotland,2019/20,Unclassified,7350
7125,Total,All,Wales,2019/20,First class honours,6520
7126,Total,All,Wales,2019/20,Upper second class honours,8400
7127,Total,All,Wales,2019/20,Lower second class honours,2810
7128,Total,All,Wales,2019/20,Third class honours/Pass,465
7129,Total,All,Wales,2019/20,Unclassified,435
7130,Total,Full-time,All,2019/20,First class honours,111010
7131,Total,Full-time,All,2019/20,Upper second class honours,149040
7132,Total,Full-time,All,2019/20,Lower second class honours,42880
7133,Total,Full-time,All,2019/20,Third class honours/Pass,7020
7134,Total,Full-time,All,2019/20,Unclassified,15730
7135,Total,Full-time,England,2019/20,First class honours,94805
7136,Total,Full-time,England,2019/20,Upper second class honours,125590
7137,Total,Full-time,England,2019/20,Lower second class honours,36615
7138,Total,Full-time,England,2019/20,Third class honours/Pass,6125
7139,Total,Full-time,England,2019/20,Unclassified,8865
7140,Total,Full-time,Northern Ireland,2019/20,First class honours,2410
7141,Total,Full-time,Northern Ireland,2019/20,Upper second class honours,4035
7142,Total,Full-time,Northern Ireland,2019/20,Lower second class honours,930
7143,Total,Full-time,Northern Ireland,2019/20,Third class honours/Pass,60
7144,Total,Full-time,Northern Ireland,2019/20,Unclassified,225
7145,Total,Full-time,Scotland,2019/20,First class honours,7510
7146,Total,Full-time,Scotland,2019/20,Upper second class honours,11255
7147,Total,Full-time,Scotland,2019/20,Lower second class honours,2660
7148,Total,Full-time,Scotland,2019/20,Third class honours/Pass,430
7149,Total,Full-time,Scotland,2019/20,Unclassified,6225
7150,Total,Full-time,Wales,2019/20,First class honours,6285
7151,Total,Full-time,Wales,2019/20,Upper second class honours,8160
7152,Total,Full-time,Wales,2019/20,Lower second class honours,2675
7153,Total,Full-time,Wales,2019/20,Third class honours/Pass,405
7154,Total,Full-time,Wales,2019/20,Unclassified,420
7155,Total,Part-time,All,2019/20,First class honours,4465
7156,Total,Part-time,All,2019/20,Upper second class honours,5880
7157,Total,Part-time,All,2019/20,Lower second class honours,4315
7158,Total,Part-time,All,2019/20,Third class honours/Pass,2275
7159,Total,Part-time,All,2019/20,Unclassified,1805
7160,Total,Part-time,England,2019/20,First class honours,3885
7161,Total,Part-time,England,2019/20,Upper second class honours,5120
7162,Total,Part-time,England,2019/20,Lower second class honours,3870
7163,Total,Part-time,England,2019/20,Third class honours/Pass,2085
7164,Total,Part-time,England,2019/20,Unclassified,660
7165,Total,Part-time,Northern Ireland,2019/20,First class honours,180
7166,Total,Part-time,Northern Ireland,2019/20,Upper second class honours,270
7167,Total,Part-time,Northern Ireland,2019/20,Lower second class honours,155
7168,Total,Part-time,Northern Ireland,2019/20,Third class honours/Pass,45
7169,Total,Part-time,Northern Ireland,2019/20,Unclassified,5
7170,Total,Part-time,Scotland,2019/20,First class honours,160
7171,Total,Part-time,Scotland,2019/20,Upper second class honours,250
7172,Total,Part-time,Scotland,2019/20,Lower second class honours,155
7173,Total,Part-time,Scotland,2019/20,Third class honours/Pass,85
7174,Total,Part-time,Scotland,2019/20,Unclassified,1125
7175,Total,Part-time,Wales,2019/20,First class honours,240
7176,Total,Part-time,Wales,2019/20,Upper second class honours,245
7177,Total,Part-time,Wales,2019/20,Lower second class honours,140
7178,Total,Part-time,Wales,2019/20,Third class honours/Pass,60
7179,Total,Part-time,Wales,2019/20,Unclassified,15
