,Disability Status,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
3130,Known disability,Full-time,England,2014/15,First class honours,6575
3131,Known disability,Full-time,England,2014/15,Upper second class honours,16370
3132,Known disability,Full-time,England,2014/15,Lower second class honours,7135
3133,Known disability,Full-time,England,2014/15,Third class honours/Pass,1420
3134,Known disability,Full-time,England,2014/15,Unclassified,1185
3135,Known disability,Part-time,England,2014/15,First class honours,510
3136,Known disability,Part-time,England,2014/15,Upper second class honours,1220
3137,Known disability,Part-time,England,2014/15,Lower second class honours,1115
3138,Known disability,Part-time,England,2014/15,Third class honours/Pass,550
3139,Known disability,Part-time,England,2014/15,Unclassified,315
3140,Known disability,Full-time,Northern Ireland,2014/15,First class honours,95
3141,Known disability,Full-time,Northern Ireland,2014/15,Upper second class honours,305
3142,Known disability,Full-time,Northern Ireland,2014/15,Lower second class honours,135
3143,Known disability,Full-time,Northern Ireland,2014/15,Third class honours/Pass,20
3144,Known disability,Full-time,Northern Ireland,2014/15,Unclassified,15
3145,Known disability,Part-time,Northern Ireland,2014/15,First class honours,10
3146,Known disability,Part-time,Northern Ireland,2014/15,Upper second class honours,40
3147,Known disability,Part-time,Northern Ireland,2014/15,Lower second class honours,55
3148,Known disability,Part-time,Northern Ireland,2014/15,Third class honours/Pass,20
3149,Known disability,Part-time,Northern Ireland,2014/15,Unclassified,5
3150,Known disability,Full-time,Scotland,2014/15,First class honours,505
3151,Known disability,Full-time,Scotland,2014/15,Upper second class honours,1230
3152,Known disability,Full-time,Scotland,2014/15,Lower second class honours,515
3153,Known disability,Full-time,Scotland,2014/15,Third class honours/Pass,100
3154,Known disability,Full-time,Scotland,2014/15,Unclassified,825
3155,Known disability,Part-time,Scotland,2014/15,First class honours,35
3156,Known disability,Part-time,Scotland,2014/15,Upper second class honours,65
3157,Known disability,Part-time,Scotland,2014/15,Lower second class honours,45
3158,Known disability,Part-time,Scotland,2014/15,Third class honours/Pass,40
3159,Known disability,Part-time,Scotland,2014/15,Unclassified,210
3160,Known disability,Full-time,Wales,2014/15,First class honours,440
3161,Known disability,Full-time,Wales,2014/15,Upper second class honours,1105
3162,Known disability,Full-time,Wales,2014/15,Lower second class honours,665
3163,Known disability,Full-time,Wales,2014/15,Third class honours/Pass,140
3164,Known disability,Full-time,Wales,2014/15,Unclassified,70
3165,Known disability,Part-time,Wales,2014/15,First class honours,35
3166,Known disability,Part-time,Wales,2014/15,Upper second class honours,80
3167,Known disability,Part-time,Wales,2014/15,Lower second class honours,50
3168,Known disability,Part-time,Wales,2014/15,Third class honours/Pass,30
3169,Known disability,Part-time,Wales,2014/15,Unclassified,15
3170,Known disability,Full-time,England,2015/16,First class honours,7505
3171,Known disability,Full-time,England,2015/16,Upper second class honours,17755
3172,Known disability,Full-time,England,2015/16,Lower second class honours,7440
3173,Known disability,Full-time,England,2015/16,Third class honours/Pass,1445
3174,Known disability,Full-time,England,2015/16,Unclassified,1245
3175,Known disability,Part-time,England,2015/16,First class honours,510
3176,Known disability,Part-time,England,2015/16,Upper second class honours,1200
3177,Known disability,Part-time,England,2015/16,Lower second class honours,1070
3178,Known disability,Part-time,England,2015/16,Third class honours/Pass,590
3179,Known disability,Part-time,England,2015/16,Unclassified,275
3180,Known disability,Full-time,Northern Ireland,2015/16,First class honours,145
3181,Known disability,Full-time,Northern Ireland,2015/16,Upper second class honours,380
3182,Known disability,Full-time,Northern Ireland,2015/16,Lower second class honours,175
3183,Known disability,Full-time,Northern Ireland,2015/16,Third class honours/Pass,20
3184,Known disability,Full-time,Northern Ireland,2015/16,Unclassified,15
3185,Known disability,Part-time,Northern Ireland,2015/16,First class honours,25
3186,Known disability,Part-time,Northern Ireland,2015/16,Upper second class honours,55
3187,Known disability,Part-time,Northern Ireland,2015/16,Lower second class honours,30
3188,Known disability,Part-time,Northern Ireland,2015/16,Third class honours/Pass,10
3189,Known disability,Part-time,Northern Ireland,2015/16,Unclassified,10
3190,Known disability,Full-time,Scotland,2015/16,First class honours,570
3191,Known disability,Full-time,Scotland,2015/16,Upper second class honours,1380
3192,Known disability,Full-time,Scotland,2015/16,Lower second class honours,545
3193,Known disability,Full-time,Scotland,2015/16,Third class honours/Pass,100
3194,Known disability,Full-time,Scotland,2015/16,Unclassified,905
3195,Known disability,Part-time,Scotland,2015/16,First class honours,25
3196,Known disability,Part-time,Scotland,2015/16,Upper second class honours,70
3197,Known disability,Part-time,Scotland,2015/16,Lower second class honours,55
3198,Known disability,Part-time,Scotland,2015/16,Third class honours/Pass,40
3199,Known disability,Part-time,Scotland,2015/16,Unclassified,155
3200,Known disability,Full-time,Wales,2015/16,First class honours,490
3201,Known disability,Full-time,Wales,2015/16,Upper second class honours,1135
3202,Known disability,Full-time,Wales,2015/16,Lower second class honours,615
3203,Known disability,Full-time,Wales,2015/16,Third class honours/Pass,120
3204,Known disability,Full-time,Wales,2015/16,Unclassified,65
3205,Known disability,Part-time,Wales,2015/16,First class honours,20
3206,Known disability,Part-time,Wales,2015/16,Upper second class honours,50
3207,Known disability,Part-time,Wales,2015/16,Lower second class honours,35
3208,Known disability,Part-time,Wales,2015/16,Third class honours/Pass,20
3209,Known disability,Part-time,Wales,2015/16,Unclassified,15
3210,Known disability,Full-time,England,2016/17,First class honours,9260
3211,Known disability,Full-time,England,2016/17,Upper second class honours,19060
3212,Known disability,Full-time,England,2016/17,Lower second class honours,7685
3213,Known disability,Full-time,England,2016/17,Third class honours/Pass,1560
3214,Known disability,Full-time,England,2016/17,Unclassified,1215
3215,Known disability,Part-time,England,2016/17,First class honours,585
3216,Known disability,Part-time,England,2016/17,Upper second class honours,1300
3217,Known disability,Part-time,England,2016/17,Lower second class honours,1125
3218,Known disability,Part-time,England,2016/17,Third class honours/Pass,665
3219,Known disability,Part-time,England,2016/17,Unclassified,290
3220,Known disability,Full-time,Northern Ireland,2016/17,First class honours,175
3221,Known disability,Full-time,Northern Ireland,2016/17,Upper second class honours,450
3222,Known disability,Full-time,Northern Ireland,2016/17,Lower second class honours,210
3223,Known disability,Full-time,Northern Ireland,2016/17,Third class honours/Pass,25
3224,Known disability,Full-time,Northern Ireland,2016/17,Unclassified,25
3225,Known disability,Part-time,Northern Ireland,2016/17,First class honours,20
3226,Known disability,Part-time,Northern Ireland,2016/17,Upper second class honours,55
3227,Known disability,Part-time,Northern Ireland,2016/17,Lower second class honours,30
3228,Known disability,Part-time,Northern Ireland,2016/17,Third class honours/Pass,15
3229,Known disability,Part-time,Northern Ireland,2016/17,Unclassified,10
3230,Known disability,Full-time,Scotland,2016/17,First class honours,620
3231,Known disability,Full-time,Scotland,2016/17,Upper second class honours,1585
3232,Known disability,Full-time,Scotland,2016/17,Lower second class honours,535
3233,Known disability,Full-time,Scotland,2016/17,Third class honours/Pass,105
3234,Known disability,Full-time,Scotland,2016/17,Unclassified,955
3235,Known disability,Part-time,Scotland,2016/17,First class honours,25
3236,Known disability,Part-time,Scotland,2016/17,Upper second class honours,80
3237,Known disability,Part-time,Scotland,2016/17,Lower second class honours,85
3238,Known disability,Part-time,Scotland,2016/17,Third class honours/Pass,40
3239,Known disability,Part-time,Scotland,2016/17,Unclassified,145
3240,Known disability,Full-time,Wales,2016/17,First class honours,635
3241,Known disability,Full-time,Wales,2016/17,Upper second class honours,1285
3242,Known disability,Full-time,Wales,2016/17,Lower second class honours,645
3243,Known disability,Full-time,Wales,2016/17,Third class honours/Pass,125
3244,Known disability,Full-time,Wales,2016/17,Unclassified,70
3245,Known disability,Part-time,Wales,2016/17,First class honours,35
3246,Known disability,Part-time,Wales,2016/17,Upper second class honours,60
3247,Known disability,Part-time,Wales,2016/17,Lower second class honours,50
3248,Known disability,Part-time,Wales,2016/17,Third class honours/Pass,25
3249,Known disability,Part-time,Wales,2016/17,Unclassified,15
3250,Known disability,Full-time,England,2017/18,First class honours,10870
3251,Known disability,Full-time,England,2017/18,Upper second class honours,20290
3252,Known disability,Full-time,England,2017/18,Lower second class honours,8035
3253,Known disability,Full-time,England,2017/18,Third class honours/Pass,1545
3254,Known disability,Full-time,England,2017/18,Unclassified,1335
3255,Known disability,Part-time,England,2017/18,First class honours,560
3256,Known disability,Part-time,England,2017/18,Upper second class honours,1145
3257,Known disability,Part-time,England,2017/18,Lower second class honours,1015
3258,Known disability,Part-time,England,2017/18,Third class honours/Pass,625
3259,Known disability,Part-time,England,2017/18,Unclassified,195
3260,Known disability,Full-time,Northern Ireland,2017/18,First class honours,205
3261,Known disability,Full-time,Northern Ireland,2017/18,Upper second class honours,405
3262,Known disability,Full-time,Northern Ireland,2017/18,Lower second class honours,180
3263,Known disability,Full-time,Northern Ireland,2017/18,Third class honours/Pass,25
3264,Known disability,Full-time,Northern Ireland,2017/18,Unclassified,20
3265,Known disability,Part-time,Northern Ireland,2017/18,First class honours,20
3266,Known disability,Part-time,Northern Ireland,2017/18,Upper second class honours,50
3267,Known disability,Part-time,Northern Ireland,2017/18,Lower second class honours,35
3268,Known disability,Part-time,Northern Ireland,2017/18,Third class honours/Pass,10
3269,Known disability,Part-time,Northern Ireland,2017/18,Unclassified,5
3270,Known disability,Full-time,Scotland,2017/18,First class honours,740
3271,Known disability,Full-time,Scotland,2017/18,Upper second class honours,1735
3272,Known disability,Full-time,Scotland,2017/18,Lower second class honours,570
3273,Known disability,Full-time,Scotland,2017/18,Third class honours/Pass,125
3274,Known disability,Full-time,Scotland,2017/18,Unclassified,1125
3275,Known disability,Part-time,Scotland,2017/18,First class honours,35
3276,Known disability,Part-time,Scotland,2017/18,Upper second class honours,75
3277,Known disability,Part-time,Scotland,2017/18,Lower second class honours,75
3278,Known disability,Part-time,Scotland,2017/18,Third class honours/Pass,50
3279,Known disability,Part-time,Scotland,2017/18,Unclassified,120
3280,Known disability,Full-time,Wales,2017/18,First class honours,660
3281,Known disability,Full-time,Wales,2017/18,Upper second class honours,1385
3282,Known disability,Full-time,Wales,2017/18,Lower second class honours,585
3283,Known disability,Full-time,Wales,2017/18,Third class honours/Pass,110
3284,Known disability,Full-time,Wales,2017/18,Unclassified,60
3285,Known disability,Part-time,Wales,2017/18,First class honours,30
3286,Known disability,Part-time,Wales,2017/18,Upper second class honours,55
3287,Known disability,Part-time,Wales,2017/18,Lower second class honours,50
3288,Known disability,Part-time,Wales,2017/18,Third class honours/Pass,35
3289,Known disability,Part-time,Wales,2017/18,Unclassified,15
3290,Known disability,Full-time,England,2018/19,First class honours,12095
3291,Known disability,Full-time,England,2018/19,Upper second class honours,22275
3292,Known disability,Full-time,England,2018/19,Lower second class honours,8650
3293,Known disability,Full-time,England,2018/19,Third class honours/Pass,1695
3294,Known disability,Full-time,England,2018/19,Unclassified,1420
3295,Known disability,Part-time,England,2018/19,First class honours,565
3296,Known disability,Part-time,England,2018/19,Upper second class honours,1200
3297,Known disability,Part-time,England,2018/19,Lower second class honours,1035
3298,Known disability,Part-time,England,2018/19,Third class honours/Pass,575
3299,Known disability,Part-time,England,2018/19,Unclassified,180
3300,Known disability,Full-time,Northern Ireland,2018/19,First class honours,225
3301,Known disability,Full-time,Northern Ireland,2018/19,Upper second class honours,495
3302,Known disability,Full-time,Northern Ireland,2018/19,Lower second class honours,165
3303,Known disability,Full-time,Northern Ireland,2018/19,Third class honours/Pass,20
3304,Known disability,Full-time,Northern Ireland,2018/19,Unclassified,25
3305,Known disability,Part-time,Northern Ireland,2018/19,First class honours,35
3306,Known disability,Part-time,Northern Ireland,2018/19,Upper second class honours,70
3307,Known disability,Part-time,Northern Ireland,2018/19,Lower second class honours,35
3308,Known disability,Part-time,Northern Ireland,2018/19,Third class honours/Pass,15
3309,Known disability,Part-time,Northern Ireland,2018/19,Unclassified,10
3310,Known disability,Full-time,Scotland,2018/19,First class honours,815
3311,Known disability,Full-time,Scotland,2018/19,Upper second class honours,1795
3312,Known disability,Full-time,Scotland,2018/19,Lower second class honours,635
3313,Known disability,Full-time,Scotland,2018/19,Third class honours/Pass,105
3314,Known disability,Full-time,Scotland,2018/19,Unclassified,1100
3315,Known disability,Part-time,Scotland,2018/19,First class honours,40
3316,Known disability,Part-time,Scotland,2018/19,Upper second class honours,95
3317,Known disability,Part-time,Scotland,2018/19,Lower second class honours,70
3318,Known disability,Part-time,Scotland,2018/19,Third class honours/Pass,35
3319,Known disability,Part-time,Scotland,2018/19,Unclassified,140
3320,Known disability,Full-time,Wales,2018/19,First class honours,715
3321,Known disability,Full-time,Wales,2018/19,Upper second class honours,1405
3322,Known disability,Full-time,Wales,2018/19,Lower second class honours,630
3323,Known disability,Full-time,Wales,2018/19,Third class honours/Pass,120
3324,Known disability,Full-time,Wales,2018/19,Unclassified,60
3325,Known disability,Part-time,Wales,2018/19,First class honours,35
3326,Known disability,Part-time,Wales,2018/19,Upper second class honours,65
3327,Known disability,Part-time,Wales,2018/19,Lower second class honours,55
3328,Known disability,Part-time,Wales,2018/19,Third class honours/Pass,25
3329,Known disability,Part-time,Wales,2018/19,Unclassified,5
3330,Known disability,Full-time,England,2019/20,First class honours,16430
3331,Known disability,Full-time,England,2019/20,Upper second class honours,23440
3332,Known disability,Full-time,England,2019/20,Lower second class honours,7035
3333,Known disability,Full-time,England,2019/20,Third class honours/Pass,1150
3334,Known disability,Full-time,England,2019/20,Unclassified,1535
3335,Known disability,Part-time,England,2019/20,First class honours,480
3336,Known disability,Part-time,England,2019/20,Upper second class honours,850
3337,Known disability,Part-time,England,2019/20,Lower second class honours,690
3338,Known disability,Part-time,England,2019/20,Third class honours/Pass,335
3339,Known disability,Part-time,England,2019/20,Unclassified,80
3340,Known disability,Full-time,Northern Ireland,2019/20,First class honours,330
3341,Known disability,Full-time,Northern Ireland,2019/20,Upper second class honours,545
3342,Known disability,Full-time,Northern Ireland,2019/20,Lower second class honours,165
3343,Known disability,Full-time,Northern Ireland,2019/20,Third class honours/Pass,10
3344,Known disability,Full-time,Northern Ireland,2019/20,Unclassified,15
3345,Known disability,Part-time,Northern Ireland,2019/20,First class honours,15
3346,Known disability,Part-time,Northern Ireland,2019/20,Upper second class honours,35
3347,Known disability,Part-time,Northern Ireland,2019/20,Lower second class honours,15
3348,Known disability,Part-time,Northern Ireland,2019/20,Third class honours/Pass,10
3349,Known disability,Part-time,Northern Ireland,2019/20,Unclassified,5
3350,Known disability,Full-time,Scotland,2019/20,First class honours,1125
3351,Known disability,Full-time,Scotland,2019/20,Upper second class honours,1890
3352,Known disability,Full-time,Scotland,2019/20,Lower second class honours,525
3353,Known disability,Full-time,Scotland,2019/20,Third class honours/Pass,95
3354,Known disability,Full-time,Scotland,2019/20,Unclassified,960
3355,Known disability,Part-time,Scotland,2019/20,First class honours,20
3356,Known disability,Part-time,Scotland,2019/20,Upper second class honours,25
3357,Known disability,Part-time,Scotland,2019/20,Lower second class honours,30
3358,Known disability,Part-time,Scotland,2019/20,Third class honours/Pass,15
3359,Known disability,Part-time,Scotland,2019/20,Unclassified,125
3360,Known disability,Full-time,Wales,2019/20,First class honours,1045
3361,Known disability,Full-time,Wales,2019/20,Upper second class honours,1490
3362,Known disability,Full-time,Wales,2019/20,Lower second class honours,530
3363,Known disability,Full-time,Wales,2019/20,Third class honours/Pass,100
3364,Known disability,Full-time,Wales,2019/20,Unclassified,55
3365,Known disability,Part-time,Wales,2019/20,First class honours,20
3366,Known disability,Part-time,Wales,2019/20,Upper second class honours,35
3367,Known disability,Part-time,Wales,2019/20,Lower second class honours,40
3368,Known disability,Part-time,Wales,2019/20,Third class honours/Pass,15
3369,Known disability,Part-time,Wales,2019/20,Unclassified,5
3370,Known disability,All,England,2014/15,First class honours,7085
3371,Known disability,All,England,2014/15,Upper second class honours,17590
3372,Known disability,All,England,2014/15,Lower second class honours,8245
3373,Known disability,All,England,2014/15,Third class honours/Pass,1975
3374,Known disability,All,England,2014/15,Unclassified,1495
3375,Known disability,All,Northern Ireland,2014/15,First class honours,110
3376,Known disability,All,Northern Ireland,2014/15,Upper second class honours,345
3377,Known disability,All,Northern Ireland,2014/15,Lower second class honours,190
3378,Known disability,All,Northern Ireland,2014/15,Third class honours/Pass,45
3379,Known disability,All,Northern Ireland,2014/15,Unclassified,20
3380,Known disability,All,Scotland,2014/15,First class honours,540
3381,Known disability,All,Scotland,2014/15,Upper second class honours,1295
3382,Known disability,All,Scotland,2014/15,Lower second class honours,560
3383,Known disability,All,Scotland,2014/15,Third class honours/Pass,135
3384,Known disability,All,Scotland,2014/15,Unclassified,1035
3385,Known disability,All,Wales,2014/15,First class honours,475
3386,Known disability,All,Wales,2014/15,Upper second class honours,1185
3387,Known disability,All,Wales,2014/15,Lower second class honours,715
3388,Known disability,All,Wales,2014/15,Third class honours/Pass,175
3389,Known disability,All,Wales,2014/15,Unclassified,90
3390,Known disability,All,England,2015/16,First class honours,8015
3391,Known disability,All,England,2015/16,Upper second class honours,18955
3392,Known disability,All,England,2015/16,Lower second class honours,8510
3393,Known disability,All,England,2015/16,Third class honours/Pass,2040
3394,Known disability,All,England,2015/16,Unclassified,1520
3395,Known disability,All,Northern Ireland,2015/16,First class honours,170
3396,Known disability,All,Northern Ireland,2015/16,Upper second class honours,435
3397,Known disability,All,Northern Ireland,2015/16,Lower second class honours,205
3398,Known disability,All,Northern Ireland,2015/16,Third class honours/Pass,30
3399,Known disability,All,Northern Ireland,2015/16,Unclassified,25
3400,Known disability,All,Scotland,2015/16,First class honours,590
3401,Known disability,All,Scotland,2015/16,Upper second class honours,1445
3402,Known disability,All,Scotland,2015/16,Lower second class honours,605
3403,Known disability,All,Scotland,2015/16,Third class honours/Pass,140
3404,Known disability,All,Scotland,2015/16,Unclassified,1060
3405,Known disability,All,Wales,2015/16,First class honours,510
3406,Known disability,All,Wales,2015/16,Upper second class honours,1185
3407,Known disability,All,Wales,2015/16,Lower second class honours,650
3408,Known disability,All,Wales,2015/16,Third class honours/Pass,140
3409,Known disability,All,Wales,2015/16,Unclassified,80
3410,Known disability,All,England,2016/17,First class honours,9845
3411,Known disability,All,England,2016/17,Upper second class honours,20360
3412,Known disability,All,England,2016/17,Lower second class honours,8805
3413,Known disability,All,England,2016/17,Third class honours/Pass,2225
3414,Known disability,All,England,2016/17,Unclassified,1505
3415,Known disability,All,Northern Ireland,2016/17,First class honours,190
3416,Known disability,All,Northern Ireland,2016/17,Upper second class honours,505
3417,Known disability,All,Northern Ireland,2016/17,Lower second class honours,240
3418,Known disability,All,Northern Ireland,2016/17,Third class honours/Pass,40
3419,Known disability,All,Northern Ireland,2016/17,Unclassified,35
3420,Known disability,All,Scotland,2016/17,First class honours,645
3421,Known disability,All,Scotland,2016/17,Upper second class honours,1665
3422,Known disability,All,Scotland,2016/17,Lower second class honours,620
3423,Known disability,All,Scotland,2016/17,Third class honours/Pass,150
3424,Known disability,All,Scotland,2016/17,Unclassified,1100
3425,Known disability,All,Wales,2016/17,First class honours,670
3426,Known disability,All,Wales,2016/17,Upper second class honours,1345
3427,Known disability,All,Wales,2016/17,Lower second class honours,695
3428,Known disability,All,Wales,2016/17,Third class honours/Pass,150
3429,Known disability,All,Wales,2016/17,Unclassified,80
3430,Known disability,All,England,2017/18,First class honours,11435
3431,Known disability,All,England,2017/18,Upper second class honours,21440
3432,Known disability,All,England,2017/18,Lower second class honours,9050
3433,Known disability,All,England,2017/18,Third class honours/Pass,2170
3434,Known disability,All,England,2017/18,Unclassified,1530
3435,Known disability,All,Northern Ireland,2017/18,First class honours,230
3436,Known disability,All,Northern Ireland,2017/18,Upper second class honours,460
3437,Known disability,All,Northern Ireland,2017/18,Lower second class honours,215
3438,Known disability,All,Northern Ireland,2017/18,Third class honours/Pass,35
3439,Known disability,All,Northern Ireland,2017/18,Unclassified,25
3440,Known disability,All,Scotland,2017/18,First class honours,775
3441,Known disability,All,Scotland,2017/18,Upper second class honours,1810
3442,Known disability,All,Scotland,2017/18,Lower second class honours,645
3443,Known disability,All,Scotland,2017/18,Third class honours/Pass,175
3444,Known disability,All,Scotland,2017/18,Unclassified,1240
3445,Known disability,All,Wales,2017/18,First class honours,690
3446,Known disability,All,Wales,2017/18,Upper second class honours,1440
3447,Known disability,All,Wales,2017/18,Lower second class honours,630
3448,Known disability,All,Wales,2017/18,Third class honours/Pass,140
3449,Known disability,All,Wales,2017/18,Unclassified,75
3450,Known disability,All,England,2018/19,First class honours,12660
3451,Known disability,All,England,2018/19,Upper second class honours,23470
3452,Known disability,All,England,2018/19,Lower second class honours,9685
3453,Known disability,All,England,2018/19,Third class honours/Pass,2275
3454,Known disability,All,England,2018/19,Unclassified,1600
3455,Known disability,All,Northern Ireland,2018/19,First class honours,260
3456,Known disability,All,Northern Ireland,2018/19,Upper second class honours,565
3457,Known disability,All,Northern Ireland,2018/19,Lower second class honours,200
3458,Known disability,All,Northern Ireland,2018/19,Third class honours/Pass,40
3459,Known disability,All,Northern Ireland,2018/19,Unclassified,35
3460,Known disability,All,Scotland,2018/19,First class honours,850
3461,Known disability,All,Scotland,2018/19,Upper second class honours,1885
3462,Known disability,All,Scotland,2018/19,Lower second class honours,705
3463,Known disability,All,Scotland,2018/19,Third class honours/Pass,145
3464,Known disability,All,Scotland,2018/19,Unclassified,1240
3465,Known disability,All,Wales,2018/19,First class honours,750
3466,Known disability,All,Wales,2018/19,Upper second class honours,1470
3467,Known disability,All,Wales,2018/19,Lower second class honours,690
3468,Known disability,All,Wales,2018/19,Third class honours/Pass,145
3469,Known disability,All,Wales,2018/19,Unclassified,70
3470,Known disability,All,England,2019/20,First class honours,16910
3471,Known disability,All,England,2019/20,Upper second class honours,24290
3472,Known disability,All,England,2019/20,Lower second class honours,7730
3473,Known disability,All,England,2019/20,Third class honours/Pass,1485
3474,Known disability,All,England,2019/20,Unclassified,1620
3475,Known disability,All,Northern Ireland,2019/20,First class honours,345
3476,Known disability,All,Northern Ireland,2019/20,Upper second class honours,580
3477,Known disability,All,Northern Ireland,2019/20,Lower second class honours,180
3478,Known disability,All,Northern Ireland,2019/20,Third class honours/Pass,20
3479,Known disability,All,Northern Ireland,2019/20,Unclassified,20
3480,Known disability,All,Scotland,2019/20,First class honours,1145
3481,Known disability,All,Scotland,2019/20,Upper second class honours,1915
3482,Known disability,All,Scotland,2019/20,Lower second class honours,555
3483,Known disability,All,Scotland,2019/20,Third class honours/Pass,110
3484,Known disability,All,Scotland,2019/20,Unclassified,1085
3485,Known disability,All,Wales,2019/20,First class honours,1065
3486,Known disability,All,Wales,2019/20,Upper second class honours,1530
3487,Known disability,All,Wales,2019/20,Lower second class honours,570
3488,Known disability,All,Wales,2019/20,Third class honours/Pass,120
3489,Known disability,All,Wales,2019/20,Unclassified,60
3490,Known disability,All,All,2014/15,First class honours,8210
3491,Known disability,All,All,2014/15,Upper second class honours,20415
3492,Known disability,All,All,2014/15,Lower second class honours,9710
3493,Known disability,All,All,2014/15,Third class honours/Pass,2325
3494,Known disability,All,All,2014/15,Unclassified,2640
3495,Known disability,All,All,2015/16,First class honours,9285
3496,Known disability,All,All,2015/16,Upper second class honours,22025
3497,Known disability,All,All,2015/16,Lower second class honours,9965
3498,Known disability,All,All,2015/16,Third class honours/Pass,2350
3499,Known disability,All,All,2015/16,Unclassified,2690
3500,Known disability,All,All,2016/17,First class honours,11350
3501,Known disability,All,All,2016/17,Upper second class honours,23875
3502,Known disability,All,All,2016/17,Lower second class honours,10360
3503,Known disability,All,All,2016/17,Third class honours/Pass,2560
3504,Known disability,All,All,2016/17,Unclassified,2720
3505,Known disability,All,All,2017/18,First class honours,13130
3506,Known disability,All,All,2017/18,Upper second class honours,25145
3507,Known disability,All,All,2017/18,Lower second class honours,10540
3508,Known disability,All,All,2017/18,Third class honours/Pass,2525
3509,Known disability,All,All,2017/18,Unclassified,2870
3510,Known disability,All,All,2018/19,First class honours,14520
3511,Known disability,All,All,2018/19,Upper second class honours,27390
3512,Known disability,All,All,2018/19,Lower second class honours,11280
3513,Known disability,All,All,2018/19,Third class honours/Pass,2600
3514,Known disability,All,All,2018/19,Unclassified,2940
3515,Known disability,All,All,2019/20,First class honours,19465
3516,Known disability,All,All,2019/20,Upper second class honours,28315
3517,Known disability,All,All,2019/20,Lower second class honours,9035
3518,Known disability,All,All,2019/20,Third class honours/Pass,1735
3519,Known disability,All,All,2019/20,Unclassified,2785
3520,Known disability,Full-time,All,2014/15,First class honours,7615
3521,Known disability,Full-time,All,2014/15,Upper second class honours,19015
3522,Known disability,Full-time,All,2014/15,Lower second class honours,8455
3523,Known disability,Full-time,All,2014/15,Third class honours/Pass,1685
3524,Known disability,Full-time,All,2014/15,Unclassified,2095
3525,Known disability,Full-time,All,2015/16,First class honours,8710
3526,Known disability,Full-time,All,2015/16,Upper second class honours,20655
3527,Known disability,Full-time,All,2015/16,Lower second class honours,8775
3528,Known disability,Full-time,All,2015/16,Third class honours/Pass,1685
3529,Known disability,Full-time,All,2015/16,Unclassified,2230
3530,Known disability,Full-time,All,2016/17,First class honours,10690
3531,Known disability,Full-time,All,2016/17,Upper second class honours,22380
3532,Known disability,Full-time,All,2016/17,Lower second class honours,9075
3533,Known disability,Full-time,All,2016/17,Third class honours/Pass,1815
3534,Known disability,Full-time,All,2016/17,Unclassified,2265
3535,Known disability,Full-time,All,2017/18,First class honours,12480
3536,Known disability,Full-time,All,2017/18,Upper second class honours,23815
3537,Known disability,Full-time,All,2017/18,Lower second class honours,9370
3538,Known disability,Full-time,All,2017/18,Third class honours/Pass,1805
3539,Known disability,Full-time,All,2017/18,Unclassified,2540
3540,Known disability,Full-time,All,2018/19,First class honours,13845
3541,Known disability,Full-time,All,2018/19,Upper second class honours,25970
3542,Known disability,Full-time,All,2018/19,Lower second class honours,10085
3543,Known disability,Full-time,All,2018/19,Third class honours/Pass,1945
3544,Known disability,Full-time,All,2018/19,Unclassified,2605
3545,Known disability,Full-time,All,2019/20,First class honours,18925
3546,Known disability,Full-time,All,2019/20,Upper second class honours,27370
3547,Known disability,Full-time,All,2019/20,Lower second class honours,8255
3548,Known disability,Full-time,All,2019/20,Third class honours/Pass,1360
3549,Known disability,Full-time,All,2019/20,Unclassified,2565
3550,Known disability,Part-time,All,2014/15,First class honours,595
3551,Known disability,Part-time,All,2014/15,Upper second class honours,1400
3552,Known disability,Part-time,All,2014/15,Lower second class honours,1260
3553,Known disability,Part-time,All,2014/15,Third class honours/Pass,645
3554,Known disability,Part-time,All,2014/15,Unclassified,545
3555,Known disability,Part-time,All,2015/16,First class honours,580
