Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
Ethnicity,White,Part-time,All,2016/17,Upper second class honours,8265
Ethnicity,White,Part-time,All,2016/17,Lower second class honours,5525
Ethnicity,White,Part-time,All,2016/17,Third class honours/Pass,2645
Ethnicity,White,Part-time,All,2016/17,Unclassified,2570
Ethnicity,White,Part-time,All,2017/18,First class honours,4350
Ethnicity,White,Part-time,All,2017/18,Upper second class honours,6760
Ethnicity,White,Part-time,All,2017/18,Lower second class honours,4515
Ethnicity,White,Part-time,All,2017/18,Third class honours/Pass,2440
Ethnicity,White,Part-time,All,2017/18,Unclassified,2115
Ethnicity,White,Part-time,All,2018/19,First class honours,4655
Ethnicity,White,Part-time,All,2018/19,Upper second class honours,7180
Ethnicity,White,Part-time,All,2018/19,Lower second class honours,4260
Ethnicity,White,Part-time,All,2018/19,Third class honours/Pass,2065
Ethnicity,White,Part-time,All,2018/19,Unclassified,1950
Ethnicity,White,Part-time,All,2019/20,First class honours,3910
Ethnicity,White,Part-time,All,2019/20,Upper second class honours,4605
Ethnicity,White,Part-time,All,2019/20,Lower second class honours,2590
Ethnicity,White,Part-time,All,2019/20,Third class honours/Pass,1120
Ethnicity,White,Part-time,All,2019/20,Unclassified,1300
Ethnicity,Black,Full-time,England,2014/15,First class honours,1740
Ethnicity,Black,Full-time,England,2014/15,Upper second class honours,7280
Ethnicity,Black,Full-time,England,2014/15,Lower second class honours,6035
Ethnicity,Black,Full-time,England,2014/15,Third class honours/Pass,1495
Ethnicity,Black,Full-time,England,2014/15,Unclassified,405
Ethnicity,Black,Part-time,England,2014/15,First class honours,100
Ethnicity,Black,Part-time,England,2014/15,Upper second class honours,545
Ethnicity,Black,Part-time,England,2014/15,Lower second class honours,1095
Ethnicity,Black,Part-time,England,2014/15,Third class honours/Pass,740
Ethnicity,Black,Part-time,England,2014/15,Unclassified,130
Ethnicity,Black,Full-time,Northern Ireland,2014/15,First class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2014/15,Upper second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2014/15,Lower second class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2014/15,Third class honours/Pass,5
Ethnicity,Black,Full-time,Northern Ireland,2014/15,Unclassified,0
Ethnicity,Black,Part-time,Northern Ireland,2014/15,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2014/15,Upper second class honours,5
Ethnicity,Black,Part-time,Northern Ireland,2014/15,Lower second class honours,5
Ethnicity,Black,Part-time,Northern Ireland,2014/15,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2014/15,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2014/15,First class honours,25
Ethnicity,Black,Full-time,Scotland,2014/15,Upper second class honours,80
Ethnicity,Black,Full-time,Scotland,2014/15,Lower second class honours,75
Ethnicity,Black,Full-time,Scotland,2014/15,Third class honours/Pass,10
Ethnicity,Black,Full-time,Scotland,2014/15,Unclassified,135
Ethnicity,Black,Part-time,Scotland,2014/15,First class honours,0
Ethnicity,Black,Part-time,Scotland,2014/15,Upper second class honours,5
Ethnicity,Black,Part-time,Scotland,2014/15,Lower second class honours,10
Ethnicity,Black,Part-time,Scotland,2014/15,Third class honours/Pass,5
Ethnicity,Black,Part-time,Scotland,2014/15,Unclassified,40
Ethnicity,Black,Full-time,Wales,2014/15,First class honours,30
Ethnicity,Black,Full-time,Wales,2014/15,Upper second class honours,125
Ethnicity,Black,Full-time,Wales,2014/15,Lower second class honours,130
Ethnicity,Black,Full-time,Wales,2014/15,Third class honours/Pass,20
Ethnicity,Black,Full-time,Wales,2014/15,Unclassified,10
Ethnicity,Black,Part-time,Wales,2014/15,First class honours,0
Ethnicity,Black,Part-time,Wales,2014/15,Upper second class honours,0
Ethnicity,Black,Part-time,Wales,2014/15,Lower second class honours,10
Ethnicity,Black,Part-time,Wales,2014/15,Third class honours/Pass,5
Ethnicity,Black,Part-time,Wales,2014/15,Unclassified,0
Ethnicity,Black,Full-time,England,2015/16,First class honours,2070
Ethnicity,Black,Full-time,England,2015/16,Upper second class honours,7925
Ethnicity,Black,Full-time,England,2015/16,Lower second class honours,6370
Ethnicity,Black,Full-time,England,2015/16,Third class honours/Pass,1635
Ethnicity,Black,Full-time,England,2015/16,Unclassified,435
Ethnicity,Black,Part-time,England,2015/16,First class honours,70
Ethnicity,Black,Part-time,England,2015/16,Upper second class honours,480
Ethnicity,Black,Part-time,England,2015/16,Lower second class honours,870
Ethnicity,Black,Part-time,England,2015/16,Third class honours/Pass,685
Ethnicity,Black,Part-time,England,2015/16,Unclassified,140
Ethnicity,Black,Full-time,Northern Ireland,2015/16,First class honours,0
Ethnicity,Black,Full-time,Northern Ireland,2015/16,Upper second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2015/16,Lower second class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2015/16,Third class honours/Pass,5
Ethnicity,Black,Full-time,Northern Ireland,2015/16,Unclassified,5
Ethnicity,Black,Part-time,Northern Ireland,2015/16,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2015/16,Upper second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2015/16,Lower second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2015/16,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2015/16,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2015/16,First class honours,20
Ethnicity,Black,Full-time,Scotland,2015/16,Upper second class honours,75
Ethnicity,Black,Full-time,Scotland,2015/16,Lower second class honours,65
Ethnicity,Black,Full-time,Scotland,2015/16,Third class honours/Pass,15
Ethnicity,Black,Full-time,Scotland,2015/16,Unclassified,140
Ethnicity,Black,Part-time,Scotland,2015/16,First class honours,0
Ethnicity,Black,Part-time,Scotland,2015/16,Upper second class honours,5
Ethnicity,Black,Part-time,Scotland,2015/16,Lower second class honours,5
Ethnicity,Black,Part-time,Scotland,2015/16,Third class honours/Pass,5
Ethnicity,Black,Part-time,Scotland,2015/16,Unclassified,35
Ethnicity,Black,Full-time,Wales,2015/16,First class honours,25
Ethnicity,Black,Full-time,Wales,2015/16,Upper second class honours,135
Ethnicity,Black,Full-time,Wales,2015/16,Lower second class honours,95
Ethnicity,Black,Full-time,Wales,2015/16,Third class honours/Pass,25
Ethnicity,Black,Full-time,Wales,2015/16,Unclassified,15
Ethnicity,Black,Part-time,Wales,2015/16,First class honours,0
Ethnicity,Black,Part-time,Wales,2015/16,Upper second class honours,5
Ethnicity,Black,Part-time,Wales,2015/16,Lower second class honours,5
Ethnicity,Black,Part-time,Wales,2015/16,Third class honours/Pass,0
Ethnicity,Black,Part-time,Wales,2015/16,Unclassified,0
Ethnicity,Black,Full-time,England,2016/17,First class honours,2435
Ethnicity,Black,Full-time,England,2016/17,Upper second class honours,8500
Ethnicity,Black,Full-time,England,2016/17,Lower second class honours,6430
Ethnicity,Black,Full-time,England,2016/17,Third class honours/Pass,1650
Ethnicity,Black,Full-time,England,2016/17,Unclassified,400
Ethnicity,Black,Part-time,England,2016/17,First class honours,70
Ethnicity,Black,Part-time,England,2016/17,Upper second class honours,450
Ethnicity,Black,Part-time,England,2016/17,Lower second class honours,825
Ethnicity,Black,Part-time,England,2016/17,Third class honours/Pass,665
Ethnicity,Black,Part-time,England,2016/17,Unclassified,105
Ethnicity,Black,Full-time,Northern Ireland,2016/17,First class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2016/17,Upper second class honours,15
Ethnicity,Black,Full-time,Northern Ireland,2016/17,Lower second class honours,15
Ethnicity,Black,Full-time,Northern Ireland,2016/17,Third class honours/Pass,0
Ethnicity,Black,Full-time,Northern Ireland,2016/17,Unclassified,5
Ethnicity,Black,Part-time,Northern Ireland,2016/17,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2016/17,Upper second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2016/17,Lower second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2016/17,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2016/17,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2016/17,First class honours,20
Ethnicity,Black,Full-time,Scotland,2016/17,Upper second class honours,115
Ethnicity,Black,Full-time,Scotland,2016/17,Lower second class honours,80
Ethnicity,Black,Full-time,Scotland,2016/17,Third class honours/Pass,25
Ethnicity,Black,Full-time,Scotland,2016/17,Unclassified,160
Ethnicity,Black,Part-time,Scotland,2016/17,First class honours,0
Ethnicity,Black,Part-time,Scotland,2016/17,Upper second class honours,0
Ethnicity,Black,Part-time,Scotland,2016/17,Lower second class honours,5
Ethnicity,Black,Part-time,Scotland,2016/17,Third class honours/Pass,5
Ethnicity,Black,Part-time,Scotland,2016/17,Unclassified,20
Ethnicity,Black,Full-time,Wales,2016/17,First class honours,40
Ethnicity,Black,Full-time,Wales,2016/17,Upper second class honours,155
Ethnicity,Black,Full-time,Wales,2016/17,Lower second class honours,105
Ethnicity,Black,Full-time,Wales,2016/17,Third class honours/Pass,30
Ethnicity,Black,Full-time,Wales,2016/17,Unclassified,15
Ethnicity,Black,Part-time,Wales,2016/17,First class honours,0
Ethnicity,Black,Part-time,Wales,2016/17,Upper second class honours,5
Ethnicity,Black,Part-time,Wales,2016/17,Lower second class honours,5
Ethnicity,Black,Part-time,Wales,2016/17,Third class honours/Pass,5
Ethnicity,Black,Part-time,Wales,2016/17,Unclassified,0
Ethnicity,Black,Full-time,England,2017/18,First class honours,2845
Ethnicity,Black,Full-time,England,2017/18,Upper second class honours,8940
Ethnicity,Black,Full-time,England,2017/18,Lower second class honours,6535
Ethnicity,Black,Full-time,England,2017/18,Third class honours/Pass,1600
Ethnicity,Black,Full-time,England,2017/18,Unclassified,425
Ethnicity,Black,Part-time,England,2017/18,First class honours,105
Ethnicity,Black,Part-time,England,2017/18,Upper second class honours,430
Ethnicity,Black,Part-time,England,2017/18,Lower second class honours,895
Ethnicity,Black,Part-time,England,2017/18,Third class honours/Pass,620
Ethnicity,Black,Part-time,England,2017/18,Unclassified,105
Ethnicity,Black,Full-time,Northern Ireland,2017/18,First class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2017/18,Upper second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2017/18,Lower second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2017/18,Third class honours/Pass,0
Ethnicity,Black,Full-time,Northern Ireland,2017/18,Unclassified,0
Ethnicity,Black,Part-time,Northern Ireland,2017/18,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2017/18,Upper second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2017/18,Lower second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2017/18,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2017/18,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2017/18,First class honours,35
Ethnicity,Black,Full-time,Scotland,2017/18,Upper second class honours,90
Ethnicity,Black,Full-time,Scotland,2017/18,Lower second class honours,95
Ethnicity,Black,Full-time,Scotland,2017/18,Third class honours/Pass,20
Ethnicity,Black,Full-time,Scotland,2017/18,Unclassified,170
Ethnicity,Black,Part-time,Scotland,2017/18,First class honours,0
Ethnicity,Black,Part-time,Scotland,2017/18,Upper second class honours,5
Ethnicity,Black,Part-time,Scotland,2017/18,Lower second class honours,5
Ethnicity,Black,Part-time,Scotland,2017/18,Third class honours/Pass,5
Ethnicity,Black,Part-time,Scotland,2017/18,Unclassified,25
Ethnicity,Black,Full-time,Wales,2017/18,First class honours,50
Ethnicity,Black,Full-time,Wales,2017/18,Upper second class honours,140
Ethnicity,Black,Full-time,Wales,2017/18,Lower second class honours,145
Ethnicity,Black,Full-time,Wales,2017/18,Third class honours/Pass,25
Ethnicity,Black,Full-time,Wales,2017/18,Unclassified,15
Ethnicity,Black,Part-time,Wales,2017/18,First class honours,0
Ethnicity,Black,Part-time,Wales,2017/18,Upper second class honours,0
Ethnicity,Black,Part-time,Wales,2017/18,Lower second class honours,5
Ethnicity,Black,Part-time,Wales,2017/18,Third class honours/Pass,0
Ethnicity,Black,Part-time,Wales,2017/18,Unclassified,5
Ethnicity,Black,Full-time,England,2018/19,First class honours,3090
Ethnicity,Black,Full-time,England,2018/19,Upper second class honours,9435
Ethnicity,Black,Full-time,England,2018/19,Lower second class honours,6515
Ethnicity,Black,Full-time,England,2018/19,Third class honours/Pass,1685
Ethnicity,Black,Full-time,England,2018/19,Unclassified,345
Ethnicity,Black,Part-time,England,2018/19,First class honours,90
Ethnicity,Black,Part-time,England,2018/19,Upper second class honours,445
Ethnicity,Black,Part-time,England,2018/19,Lower second class honours,770
Ethnicity,Black,Part-time,England,2018/19,Third class honours/Pass,600
Ethnicity,Black,Part-time,England,2018/19,Unclassified,100
Ethnicity,Black,Full-time,Northern Ireland,2018/19,First class honours,0
Ethnicity,Black,Full-time,Northern Ireland,2018/19,Upper second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2018/19,Lower second class honours,10
Ethnicity,Black,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
Ethnicity,Black,Full-time,Northern Ireland,2018/19,Unclassified,5
Ethnicity,Black,Part-time,Northern Ireland,2018/19,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2018/19,Upper second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2018/19,Lower second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2018/19,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2018/19,First class honours,30
Ethnicity,Black,Full-time,Scotland,2018/19,Upper second class honours,115
Ethnicity,Black,Full-time,Scotland,2018/19,Lower second class honours,80
Ethnicity,Black,Full-time,Scotland,2018/19,Third class honours/Pass,15
Ethnicity,Black,Full-time,Scotland,2018/19,Unclassified,245
Ethnicity,Black,Part-time,Scotland,2018/19,First class honours,0
Ethnicity,Black,Part-time,Scotland,2018/19,Upper second class honours,10
Ethnicity,Black,Part-time,Scotland,2018/19,Lower second class honours,5
Ethnicity,Black,Part-time,Scotland,2018/19,Third class honours/Pass,10
Ethnicity,Black,Part-time,Scotland,2018/19,Unclassified,15
Ethnicity,Black,Full-time,Wales,2018/19,First class honours,55
Ethnicity,Black,Full-time,Wales,2018/19,Upper second class honours,150
Ethnicity,Black,Full-time,Wales,2018/19,Lower second class honours,110
Ethnicity,Black,Full-time,Wales,2018/19,Third class honours/Pass,30
Ethnicity,Black,Full-time,Wales,2018/19,Unclassified,15
Ethnicity,Black,Part-time,Wales,2018/19,First class honours,0
Ethnicity,Black,Part-time,Wales,2018/19,Upper second class honours,5
Ethnicity,Black,Part-time,Wales,2018/19,Lower second class honours,10
Ethnicity,Black,Part-time,Wales,2018/19,Third class honours/Pass,5
Ethnicity,Black,Part-time,Wales,2018/19,Unclassified,0
Ethnicity,Black,Full-time,England,2019/20,First class honours,4110
Ethnicity,Black,Full-time,England,2019/20,Upper second class honours,9915
Ethnicity,Black,Full-time,England,2019/20,Lower second class honours,5365
Ethnicity,Black,Full-time,England,2019/20,Third class honours/Pass,1095
Ethnicity,Black,Full-time,England,2019/20,Unclassified,485
Ethnicity,Black,Part-time,England,2019/20,First class honours,90
Ethnicity,Black,Part-time,England,2019/20,Upper second class honours,385
Ethnicity,Black,Part-time,England,2019/20,Lower second class honours,660
Ethnicity,Black,Part-time,England,2019/20,Third class honours/Pass,415
Ethnicity,Black,Part-time,England,2019/20,Unclassified,80
Ethnicity,Black,Full-time,Northern Ireland,2019/20,First class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2019/20,Upper second class honours,15
Ethnicity,Black,Full-time,Northern Ireland,2019/20,Lower second class honours,5
Ethnicity,Black,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
Ethnicity,Black,Full-time,Northern Ireland,2019/20,Unclassified,5
Ethnicity,Black,Part-time,Northern Ireland,2019/20,First class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2019/20,Upper second class honours,0
Ethnicity,Black,Part-time,Northern Ireland,2019/20,Lower second class honours,5
Ethnicity,Black,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
Ethnicity,Black,Part-time,Northern Ireland,2019/20,Unclassified,0
Ethnicity,Black,Full-time,Scotland,2019/20,First class honours,55
Ethnicity,Black,Full-time,Scotland,2019/20,Upper second class honours,140
Ethnicity,Black,Full-time,Scotland,2019/20,Lower second class honours,80
Ethnicity,Black,Full-time,Scotland,2019/20,Third class honours/Pass,10
Ethnicity,Black,Full-time,Scotland,2019/20,Unclassified,155
Ethnicity,Black,Part-time,Scotland,2019/20,First class honours,0
Ethnicity,Black,Part-time,Scotland,2019/20,Upper second class honours,0
Ethnicity,Black,Part-time,Scotland,2019/20,Lower second class honours,0
Ethnicity,Black,Part-time,Scotland,2019/20,Third class honours/Pass,5
Ethnicity,Black,Part-time,Scotland,2019/20,Unclassified,10
Ethnicity,Black,Full-time,Wales,2019/20,First class honours,75
Ethnicity,Black,Full-time,Wales,2019/20,Upper second class honours,180
Ethnicity,Black,Full-time,Wales,2019/20,Lower second class honours,125
Ethnicity,Black,Full-time,Wales,2019/20,Third class honours/Pass,20
Ethnicity,Black,Full-time,Wales,2019/20,Unclassified,20
Ethnicity,Black,Part-time,Wales,2019/20,First class honours,0
Ethnicity,Black,Part-time,Wales,2019/20,Upper second class honours,0
Ethnicity,Black,Part-time,Wales,2019/20,Lower second class honours,0
Ethnicity,Black,Part-time,Wales,2019/20,Third class honours/Pass,5
Ethnicity,Black,Part-time,Wales,2019/20,Unclassified,0
Ethnicity,Black,All,England,2014/15,First class honours,1845
Ethnicity,Black,All,England,2014/15,Upper second class honours,7830
Ethnicity,Black,All,England,2014/15,Lower second class honours,7130
Ethnicity,Black,All,England,2014/15,Third class honours/Pass,2235
Ethnicity,Black,All,England,2014/15,Unclassified,540
Ethnicity,Black,All,Northern Ireland,2014/15,First class honours,5
Ethnicity,Black,All,Northern Ireland,2014/15,Upper second class honours,10
Ethnicity,Black,All,Northern Ireland,2014/15,Lower second class honours,10
Ethnicity,Black,All,Northern Ireland,2014/15,Third class honours/Pass,5
Ethnicity,Black,All,Northern Ireland,2014/15,Unclassified,0
Ethnicity,Black,All,Scotland,2014/15,First class honours,25
Ethnicity,Black,All,Scotland,2014/15,Upper second class honours,85
Ethnicity,Black,All,Scotland,2014/15,Lower second class honours,85
Ethnicity,Black,All,Scotland,2014/15,Third class honours/Pass,15
Ethnicity,Black,All,Scotland,2014/15,Unclassified,175
Ethnicity,Black,All,Wales,2014/15,First class honours,35
Ethnicity,Black,All,Wales,2014/15,Upper second class honours,125
Ethnicity,Black,All,Wales,2014/15,Lower second class honours,140
Ethnicity,Black,All,Wales,2014/15,Third class honours/Pass,25
Ethnicity,Black,All,Wales,2014/15,Unclassified,10
Ethnicity,Black,All,England,2015/16,First class honours,2140
Ethnicity,Black,All,England,2015/16,Upper second class honours,8410
Ethnicity,Black,All,England,2015/16,Lower second class honours,7240
Ethnicity,Black,All,England,2015/16,Third class honours/Pass,2320
Ethnicity,Black,All,England,2015/16,Unclassified,575
Ethnicity,Black,All,Northern Ireland,2015/16,First class honours,0
Ethnicity,Black,All,Northern Ireland,2015/16,Upper second class honours,10
Ethnicity,Black,All,Northern Ireland,2015/16,Lower second class honours,10
Ethnicity,Black,All,Northern Ireland,2015/16,Third class honours/Pass,5
Ethnicity,Black,All,Northern Ireland,2015/16,Unclassified,5
Ethnicity,Black,All,Scotland,2015/16,First class honours,20
Ethnicity,Black,All,Scotland,2015/16,Upper second class honours,80
Ethnicity,Black,All,Scotland,2015/16,Lower second class honours,70
Ethnicity,Black,All,Scotland,2015/16,Third class honours/Pass,20
Ethnicity,Black,All,Scotland,2015/16,Unclassified,175
Ethnicity,Black,All,Wales,2015/16,First class honours,30
Ethnicity,Black,All,Wales,2015/16,Upper second class honours,135
Ethnicity,Black,All,Wales,2015/16,Lower second class honours,95
Ethnicity,Black,All,Wales,2015/16,Third class honours/Pass,25
Ethnicity,Black,All,Wales,2015/16,Unclassified,15
Ethnicity,Black,All,England,2016/17,First class honours,2505
Ethnicity,Black,All,England,2016/17,Upper second class honours,8950
Ethnicity,Black,All,England,2016/17,Lower second class honours,7255
Ethnicity,Black,All,England,2016/17,Third class honours/Pass,2315
Ethnicity,Black,All,England,2016/17,Unclassified,505
Ethnicity,Black,All,Northern Ireland,2016/17,First class honours,5
Ethnicity,Black,All,Northern Ireland,2016/17,Upper second class honours,15
Ethnicity,Black,All,Northern Ireland,2016/17,Lower second class honours,15
Ethnicity,Black,All,Northern Ireland,2016/17,Third class honours/Pass,0
Ethnicity,Black,All,Northern Ireland,2016/17,Unclassified,5
Ethnicity,Black,All,Scotland,2016/17,First class honours,20
Ethnicity,Black,All,Scotland,2016/17,Upper second class honours,120
Ethnicity,Black,All,Scotland,2016/17,Lower second class honours,85
Ethnicity,Black,All,Scotland,2016/17,Third class honours/Pass,30
Ethnicity,Black,All,Scotland,2016/17,Unclassified,180
Ethnicity,Black,All,Wales,2016/17,First class honours,40
Ethnicity,Black,All,Wales,2016/17,Upper second class honours,155
Ethnicity,Black,All,Wales,2016/17,Lower second class honours,115
Ethnicity,Black,All,Wales,2016/17,Third class honours/Pass,35
Ethnicity,Black,All,Wales,2016/17,Unclassified,15
Ethnicity,Black,All,England,2017/18,First class honours,2950
Ethnicity,Black,All,England,2017/18,Upper second class honours,9375
Ethnicity,Black,All,England,2017/18,Lower second class honours,7425
Ethnicity,Black,All,England,2017/18,Third class honours/Pass,2215
Ethnicity,Black,All,England,2017/18,Unclassified,530
Ethnicity,Black,All,Northern Ireland,2017/18,First class honours,5
Ethnicity,Black,All,Northern Ireland,2017/18,Upper second class honours,10
Ethnicity,Black,All,Northern Ireland,2017/18,Lower second class honours,10
Ethnicity,Black,All,Northern Ireland,2017/18,Third class honours/Pass,5
Ethnicity,Black,All,Northern Ireland,2017/18,Unclassified,0
Ethnicity,Black,All,Scotland,2017/18,First class honours,40
Ethnicity,Black,All,Scotland,2017/18,Upper second class honours,95
Ethnicity,Black,All,Scotland,2017/18,Lower second class honours,100
Ethnicity,Black,All,Scotland,2017/18,Third class honours/Pass,25
Ethnicity,Black,All,Scotland,2017/18,Unclassified,195
Ethnicity,Black,All,Wales,2017/18,First class honours,50
Ethnicity,Black,All,Wales,2017/18,Upper second class honours,140
Ethnicity,Black,All,Wales,2017/18,Lower second class honours,150
Ethnicity,Black,All,Wales,2017/18,Third class honours/Pass,25
Ethnicity,Black,All,Wales,2017/18,Unclassified,20
Ethnicity,Black,All,England,2018/19,First class honours,3180
Ethnicity,Black,All,England,2018/19,Upper second class honours,9885
Ethnicity,Black,All,England,2018/19,Lower second class honours,7285
Ethnicity,Black,All,England,2018/19,Third class honours/Pass,2285
Ethnicity,Black,All,England,2018/19,Unclassified,445
Ethnicity,Black,All,Northern Ireland,2018/19,First class honours,0
Ethnicity,Black,All,Northern Ireland,2018/19,Upper second class honours,10
Ethnicity,Black,All,Northern Ireland,2018/19,Lower second class honours,10
Ethnicity,Black,All,Northern Ireland,2018/19,Third class honours/Pass,0
Ethnicity,Black,All,Northern Ireland,2018/19,Unclassified,5
Ethnicity,Black,All,Scotland,2018/19,First class honours,30
Ethnicity,Black,All,Scotland,2018/19,Upper second class honours,125
Ethnicity,Black,All,Scotland,2018/19,Lower second class honours,90
Ethnicity,Black,All,Scotland,2018/19,Third class honours/Pass,25
Ethnicity,Black,All,Scotland,2018/19,Unclassified,260
Ethnicity,Black,All,Wales,2018/19,First class honours,55
Ethnicity,Black,All,Wales,2018/19,Upper second class honours,155
Ethnicity,Black,All,Wales,2018/19,Lower second class honours,120
Ethnicity,Black,All,Wales,2018/19,Third class honours/Pass,35
Ethnicity,Black,All,Wales,2018/19,Unclassified,15
Ethnicity,Black,All,England,2019/20,First class honours,4205
Ethnicity,Black,All,England,2019/20,Upper second class honours,10300
Ethnicity,Black,All,England,2019/20,Lower second class honours,6025
Ethnicity,Black,All,England,2019/20,Third class honours/Pass,1510
Ethnicity,Black,All,England,2019/20,Unclassified,560
Ethnicity,Black,All,Northern Ireland,2019/20,First class honours,5
Ethnicity,Black,All,Northern Ireland,2019/20,Upper second class honours,20
Ethnicity,Black,All,Northern Ireland,2019/20,Lower second class honours,10
Ethnicity,Black,All,Northern Ireland,2019/20,Third class honours/Pass,0
Ethnicity,Black,All,Northern Ireland,2019/20,Unclassified,5
Ethnicity,Black,All,Scotland,2019/20,First class honours,55
Ethnicity,Black,All,Scotland,2019/20,Upper second class honours,140
Ethnicity,Black,All,Scotland,2019/20,Lower second class honours,80
Ethnicity,Black,All,Scotland,2019/20,Third class honours/Pass,15
Ethnicity,Black,All,Scotland,2019/20,Unclassified,165
Ethnicity,Black,All,Wales,2019/20,First class honours,75
Ethnicity,Black,All,Wales,2019/20,Upper second class honours,180
Ethnicity,Black,All,Wales,2019/20,Lower second class honours,130
Ethnicity,Black,All,Wales,2019/20,Third class honours/Pass,25
Ethnicity,Black,All,Wales,2019/20,Unclassified,20
Ethnicity,Black,All,All,2014/15,First class honours,1910
Ethnicity,Black,All,All,2014/15,Upper second class honours,8045
Ethnicity,Black,All,All,2014/15,Lower second class honours,7365
Ethnicity,Black,All,All,2014/15,Third class honours/Pass,2275
Ethnicity,Black,All,All,2014/15,Unclassified,725
Ethnicity,Black,All,All,2015/16,First class honours,2195
Ethnicity,Black,All,All,2015/16,Upper second class honours,8640
Ethnicity,Black,All,All,2015/16,Lower second class honours,7420
Ethnicity,Black,All,All,2015/16,Third class honours/Pass,2375
Ethnicity,Black,All,All,2015/16,Unclassified,775
Ethnicity,Black,All,All,2016/17,First class honours,2575
Ethnicity,Black,All,All,2016/17,Upper second class honours,9240
Ethnicity,Black,All,All,2016/17,Lower second class honours,7470
Ethnicity,Black,All,All,2016/17,Third class honours/Pass,2380
Ethnicity,Black,All,All,2016/17,Unclassified,700
Ethnicity,Black,All,All,2017/18,First class honours,3040
Ethnicity,Black,All,All,2017/18,Upper second class honours,9620
Ethnicity,Black,All,All,2017/18,Lower second class honours,7685
Ethnicity,Black,All,All,2017/18,Third class honours/Pass,2270
Ethnicity,Black,All,All,2017/18,Unclassified,745
Ethnicity,Black,All,All,2018/19,First class honours,3265
Ethnicity,Black,All,All,2018/19,Upper second class honours,10170
Ethnicity,Black,All,All,2018/19,Lower second class honours,7505
Ethnicity,Black,All,All,2018/19,Third class honours/Pass,2345
Ethnicity,Black,All,All,2018/19,Unclassified,720
Ethnicity,Black,All,All,2019/20,First class honours,4340
Ethnicity,Black,All,All,2019/20,Upper second class honours,10640
Ethnicity,Black,All,All,2019/20,Lower second class honours,6245
Ethnicity,Black,All,All,2019/20,Third class honours/Pass,1555
Ethnicity,Black,All,All,2019/20,Unclassified,750
Ethnicity,Black,Full-time,All,2014/15,First class honours,1805
Ethnicity,Black,Full-time,All,2014/15,Upper second class honours,7495
Ethnicity,Black,Full-time,All,2014/15,Lower second class honours,6245
Ethnicity,Black,Full-time,All,2014/15,Third class honours/Pass,1530
Ethnicity,Black,Full-time,All,2014/15,Unclassified,550
Ethnicity,Black,Full-time,All,2015/16,First class honours,2120
Ethnicity,Black,Full-time,All,2015/16,Upper second class honours,8145
Ethnicity,Black,Full-time,All,2015/16,Lower second class honours,6535
Ethnicity,Black,Full-time,All,2015/16,Third class honours/Pass,1685
Ethnicity,Black,Full-time,All,2015/16,Unclassified,600
Ethnicity,Black,Full-time,All,2016/17,First class honours,2500
Ethnicity,Black,Full-time,All,2016/17,Upper second class honours,8785
Ethnicity,Black,Full-time,All,2016/17,Lower second class honours,6630
Ethnicity,Black,Full-time,All,2016/17,Third class honours/Pass,1700
Ethnicity,Black,Full-time,All,2016/17,Unclassified,575
