UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Qualification/Classification marker,Level of qualification/Degree classification,Number
,Total,Scotland,All,2014/15,First degree classification,Lower second class honours,5120
,Total,Scotland,All,2014/15,First degree classification,Third class honours/Pass,950
,Total,Scotland,All,2014/15,First degree classification,Unclassified,10745
,Total,Scotland,Scotland,2014/15,First degree classification,First class honours,5715
,Total,Scotland,Scotland,2014/15,First degree classification,Upper second class honours,13680
,Total,Scotland,Scotland,2014/15,First degree classification,Lower second class honours,5120
,Total,Scotland,Scotland,2014/15,First degree classification,Third class honours/Pass,950
,Total,Scotland,Scotland,2014/15,First degree classification,Unclassified,10745
,Total,Wales,All,2014/15,First degree classification,First class honours,4155
,Total,Wales,All,2014/15,First degree classification,Upper second class honours,9975
,Total,Wales,All,2014/15,First degree classification,Lower second class honours,5710
,Total,Wales,All,2014/15,First degree classification,Third class honours/Pass,1260
,Total,Wales,All,2014/15,First degree classification,Unclassified,705
,Total,Wales,Wales,2014/15,First degree classification,First class honours,4155
,Total,Wales,Wales,2014/15,First degree classification,Upper second class honours,9975
,Total,Wales,Wales,2014/15,First degree classification,Lower second class honours,5710
,Total,Wales,Wales,2014/15,First degree classification,Third class honours/Pass,1260
,Total,Wales,Wales,2014/15,First degree classification,Unclassified,705
